-37.76,-37.675,-16.586
35.22,50.115,14.41
-10.595,44.34,36.775
25.861,-88.758,0.72101
-2.8169,11.812,-65.565
-8.6744,-36.079,-54.39
-17.387,-68.322,14.282
-27.486,-23.771,-55.396
30.041,-38.2,1.224
-2.8672,-94.311,-23.165
4.1169,66.513,-45.219
16.74,-65.779,-31.471
28.572,72.57,-41.099
-36.73,-18.909,-41.837
3.1759,-21.803,-49.151
28.325,-11.23,57.483
-23.514,48.052,-5.7404
-8.8993,81.708,-35.063
-17.249,68.737,-20.599
24.504,-84.777,-15.773
-18.789,-7.6405,37.982
33.196,1.0391,27.428
-13.336,13.273,38.367
27.393,-54.991,28.647
35.198,72.387,-20.272
-3.7059,86.487,0.47575
23.441,58.548,35.776
7.8456,-61.218,43.279
-31.608,0.89259,-29.457
-32.494,-27.611,19.917
20.099,103.79,-30.732
-10.557,29.494,-65.907
-25.945,-1.5164,-16.517
-14.325,27.735,-25.836
36.68,-32.423,-15.093
-34.537,52.666,13.445
10.135,45.857,36.322
-24.627,-89.373,1.3416
3.8408,12.456,-65.616
8.9164,-35.245,-54.285
20.171,-60.611,15.318
26.995,-20.014,-56.949
-29.546,-35.82,0.77326
2.0568,-93.317,-21.412
-6.072,66.741,-47.001
-16.556,-64.656,-30.319
-28.389,74.368,-41.33
35.817,-17.766,-42.056
-3.5806,-22.797,-47.514
-29.824,-10.515,56.828
23.89,47.332,-4.2357
10.091,81.833,-33.835
19.532,68.073,-18.056
-23.92,-85.134,-15.568
17.115,-5.7352,37.702
-33.734,2.2824,27.045
10.823,14.329,40.496
-28.328,-53.729,29.859
-34.302,71.645,-18.935
4.2783,86.156,0.82384
-23.558,60.864,35.002
-8.8679,-59.353,44.804
31.513,5.6129,-31.173
32.876,-19.179,18.719
-19.1,103.21,-32.756
10.247,31.943,-65.027
26.278,1.3857,-16.077
14.875,27.896,-25.78
