,movement,volumes
CBU160898,0.8346858151,69.0
CBU160899,3.804189357,69.0
CBU160923,1.732747283,69.0
CBU160924,4.119898021,69.0
CBU160925,1.664675482,69.0
CBU160963,2.643716426,69.0
CBU160977,0.752397166,69.0
CBU160993,3.902102733,69.0
CBU160994,0.9960979356,69.0
CBU161004,0.9284508986,69.0
CBU161005,0.9281373002,69.0
CBU161042,0.6024141958,69.0
CBU161044,0.9865009186,69.0
CBU161054,0.8570209445,69.0
CBU161055,0.8613276282,69.0
CBU161059,2.036285356,69.0
CBU161089,0.7813632336,69.0
CBU161100,0.9370909996,69.0
CBU161121,0.6429131058,69.0
CBU161122,0.6993129395,69.0
CBU170028,1.450052419,69.0
CBU170095,0.481214433,69.0
CBU170096,0.4814732427,69.0
CBU170097,0.4160517304,69.0
CBU170098,2.078174446,69.0
CBU170190,0.8021661713,69.0
CBU170192,2.834367456,69.0
CBU170305,0.7239777071,69.0
CBU170306,0.6593829506,69.0
CBU170335,0.9758311401,69.0
CBU170365,1.276130207,69.0
CBU170373,0.9678546273,69.0
CBU170374,4.331852978,69.0
CBU170431,0.4649224452,69.0
CBU170470,0.7434743688,69.0
CBU170474,0.5897862513,69.0
CBU170476,4.063795503,69.0
