,age,Maths,Reading,ICV,Displacement,graph_density
CBU160126,-0.877394517745,-0.81634272916,-0.534008667995,-0.66273136998,-0.690268287908,1.58805425151
CBU160488,-1.05932363547,-1.91032486367,-1.54732969837,-0.581189766004,-0.172460647254,0.864255819745
CBU160411,-0.222449693943,0.520746546351,0.901529458368,0.12339119547,-1.5074786705,-0.0265730193479
CBU150249,-0.513536282299,-0.208574876655,-0.871782344787,-0.636792849283,-1.60335366861,0.975609424631
CBU160454,-0.404378811665,0.0345322643469,0.859307748769,1.0253226012,-0.749570280273,-1.91958430242
CBU160650,1.41491236556,0.39919297585,1.28152484476,-0.452342485111,-0.0247222342182,-0.137926624235
CBU150464,0.105022717958,-0.573235588158,0.605977491175,2.90784502973,-1.38949456723,0.919932622188
CBU150357,-0.331607164576,-0.451682017657,-1.25177773118,-0.49430187872,1.20822197639,0.530195005085
CBU150617,0.250566012136,0.0345322643469,0.521534071978,0.0823678041258,1.27206976608,-0.304957031564
CBU160099,-1.13209528256,-0.81634272916,-1.54732969837,0.124532711617,-0.547488926498,1.08696302952
CBU160447,-0.113292223309,-0.208574876655,-0.280678410402,-0.585670427714,-1.48640270109,-0.471987438894
CBU160430,-0.695465400022,-1.18100344066,-1.80065995596,2.02696719884,-0.491492968551,-0.137926624235
CBU150318,-0.586307929388,-0.0870213061541,0.521534071978,0.24142806247,0.241826790699,-1.41849308043
CBU160649,0.687195894671,-0.208574876655,-1.04066918318,-0.904276777699,0.107932396787,0.474518202642
CBU160070,-0.986551988378,-0.937896299661,-1.71621653677,-0.252155282417,1.71797115815,0.919932622188
CBU160405,-0.877394517745,-0.573235588158,-1.16733431198,0.167129697369,1.74462606064,-0.137926624235
CBU160145,-0.8410086942,-0.694789158659,-0.534008667995,-0.204954443727,-0.178246207485,0.196134190425
CBU160478,0.75996754176,-0.0870213061541,0.521534071978,-0.40554399311,-0.396031224743,-2.30932191952
CBU150276,0.177794365047,0.763853687353,-0.280678410402,1.80102725371,1.60164007208,-1.47416988287
CBU160069,-1.09570945901,-1.05944987016,-0.998447473584,-0.605956377401,0.980312228727,-1.36281627799
CBU160014,-0.586307929388,-0.937896299661,0.81708603917,0.0663126348968,-0.219571637704,0.808579017301
CBU150096,-0.622693752933,-0.451682017657,-0.660673796792,-0.501581424411,-1.55727581392,-0.0265730193479
CBU160352,1.5240698362,2.10094296286,1.40818997355,-0.739884673316,0.387085677922,0.474518202642
CBU150244,0.75996754176,-0.573235588158,0.81708603917,-0.242096660354,0.960476022221,0.140457387982
CBU150603,-0.950166164834,-1.18100344066,-1.42066456957,-0.371272891508,1.47993668008,1.25399343685
CBU160665,2.72480201317,3.68113937938,1.91485048874,1.76930224516,-1.12501181382,-0.806048253554
CBU150343,-0.986551988378,-0.573235588158,-0.618452087193,1.59960980292,-0.345614199875,-1.86390749998
CBU150599,-0.695465400022,-0.937896299661,-1.20955602158,1.832210324,0.82678825546,0.752902214858
CBU150494,-1.20486692965,-0.81634272916,-1.25177773118,-0.644035467764,-0.439216299323,0.697225412415
CBU160461,-1.09570945901,-0.573235588158,0.521534071978,-0.653118770556,-0.298503209424,-0.0822498217912
CBU150573,-0.804622870655,-0.451682017657,0.394868943181,-0.53668473072,0.113098075565,0.864255819745
CBU160125,0.614424247582,1.00696082836,0.268203814384,0.601117226967,0.0174297046059,0.363164597755
CBU150597,-0.950166164834,-1.05944987016,-1.37844285997,-0.370753156063,-0.924583477254,0.585871807528
CBU160010,0.177794365047,0.277639405349,0.943751167967,-0.0974454459692,-0.80164032235,-0.416310636451
CBU150431,1.74238477746,1.25006796936,1.15485971596,0.476158861444,0.338115043111,0.0847805855387
CBU150253,0.687195894671,-0.208574876655,0.563755781576,0.4983486172,1.02742321918,0.363164597755
CBU150584,0.286951835681,-0.451682017657,0.605977491175,-0.619822518958,-1.3097364869,-0.193603426678
CBU150651,0.214180188592,1.12851439886,0.605977491175,-4.28608442909,1.0315557622,0.418841400198
CBU160104,-0.186063870398,-0.451682017657,-0.660673796792,1.31300018913,1.85227880636,0.585871807528
CBU150558,-0.367992988121,-0.451682017657,0.268203814384,0.219880468647,0.353198825142,-2.30932191952
CBU160097,-0.586307929388,0.0345322643469,0.901529458368,3.91951679733,-0.193329989515,-3.42285796839
CBU160174,-0.404378811665,0.0345322643469,0.859307748769,-0.610001046504,0.78918211396,-1.08443226577
CBU150316,1.56045565974,0.885407257854,1.36596826396,0.253483145711,-1.17563546584,0.363164597755
